number,debate_id,title,topic,classification_rationale,theist_side,theist_speaker,non_theist_speaker,theist_score,non_theist_score,margin,generation
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Mike Licona,Richard Carrier,80,83,3.0,earlier
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Ross Douthat,Bart Ehrman,84,86,2.0,earlier
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Lane Craig,Robert Price,83,80,-3.0,earlier
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Albrecht,Robert Price,78,80,2.0,earlier
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Matthew Adelstein,Matt Dillahunty,81,89,8.0,earlier
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Kenny Rhodes,Matt Dillahunty,70,88,18.0,earlier
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Ben Fischer,Matt Dillahunty,68,86,18.0,earlier
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Ray Comfort,Matt Dillahunty,68,86,18.0,earlier
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Tyler Vela,Matt Dillahunty,76,84,8.0,earlier
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution","Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Alvin Plantinga,Daniel Dennett,83,84,1.0,earlier
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",con,Dinesh D'Souza,Daniel Dennett,75,80,5.0,earlier
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",con,Philip Clayton,Daniel Dennett,82,85,3.0,earlier
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,David Baggett,Matt Dillahunty,85,86,1.0,earlier
150,licona-dillahunty-resurrection-evidence-2017,Mike Licona vs Matt Dillahunty: Was Jesus Raised from the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Mike Licona,Matt Dillahunty,79,88,9.0,earlier
151,wood-dillahunty-god-secular-humanism-2020,David Wood vs Matt Dillahunty: God or Secular Humanism?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,David Wood,Matt Dillahunty,79,84,5.0,earlier
152,knechtle-aron-ra-god-existence-2023,Stuart Knechtle vs Aron Ra: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Stuart Knechtle,Aron Ra,71,78,7.0,earlier
155,turek-shermer-morality-god-science-2015,Frank Turek vs Michael Shermer: Is Morality Better Explained by God or Science?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Frank Turek,Michael Shermer,76,79,3.0,earlier
156,harris-prager-religion-morality-public-reason-2014,"Sam Harris vs Dennis Prager: Religion, Morality, and Public Reason",Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Dennis Prager,Sam Harris,70,81,11.0,earlier
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Lewis Howitt (PerspectivePhilosophy),Matt Dillahunty,71,88,17.0,earlier
158,dillahunty-mclatchie-resurrection-evidence-2020,Matt Dillahunty vs Jonathan McLatchie: Is There Strong Evidence for the Resurrection?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Dr Jonathan McLatchie,Matt Dillahunty,78,83,5.0,earlier
160,pinker-douthat-do-we-need-god-2026,Steven Pinker vs Ross Douthat: Do We Need God?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Ross Douthat,Steven Pinker,80,85,5.0,earlier
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Peter Millican,75,87,12.0,earlier
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,William Lane Craig,Shelly Kagan,76,85,9.0,earlier
163,craig-draper-existence-of-god-1997,William Lane Craig vs Paul Draper: The Existence of God,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Paul Draper,78,85,7.0,earlier
164,craig-wielenberg-god-morality-2018,William Lane Craig vs Erik Wielenberg: God and Morality,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,William Lane Craig,Erik Wielenberg,80,84,4.0,earlier
165,craig-rosenberg-faith-god-reasonable-2013,William Lane Craig vs Alex Rosenberg: Is Faith in God Reasonable?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Alex Rosenberg,81,76,-5.0,earlier
166,craig-atkins-does-god-exist-2011,William Lane Craig vs Peter Atkins: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Peter Atkins,83,73,-10.0,earlier
167,craig-shook-existence-god-2008,William Lane Craig vs John Shook: The Existence of God,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,John Shook,76,83,7.0,earlier
168,craig-krauss-evidence-god-2012,William Lane Craig vs Lawrence Krauss: Is There Evidence for God?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,William Lane Craig,Lawrence Krauss,83,81,-2.0,earlier
169,lennox-krauss-universe-god-question-2013,"John Lennox vs Lawrence Krauss: Science, the Universe, and the God Question","Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,John Lennox,Lawrence Krauss,76,84,8.0,earlier
170,singer-lennox-is-there-god-2011,Peter Singer vs John Lennox: Is There a God?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,John Lennox,Peter Singer,75,86,11.0,earlier
171,hitchens-blair-religion-force-good-2010,Christopher Hitchens vs Tony Blair: Is Religion a Force for Good in the World?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Tony Blair,Christopher Hitchens,83,85,2.0,earlier
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Alister McGrath,Christopher Hitchens,80,80,0.0,earlier
175,oppy-pearce-is-there-a-god-2022,Graham Oppy vs Kenny Pearce: Is There a God?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Kenny Pearce,Graham Oppy,84,88,4.0,earlier
176,ehrman-peter-williams-gospels-historically-reliable-2018,Bart Ehrman vs Peter J. Williams: Are the Gospels Historically Reliable?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Peter J. Williams,Bart Ehrman,83,86,3.0,earlier
177,ehrman-wallace-trust-text-new-testament-2011,Bart Ehrman vs Daniel B. Wallace: Can We Trust the Text of the New Testament?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Daniel B. Wallace,Bart Ehrman,83,88,5.0,earlier
178,ehrman-licona-who-wrote-gospels-2025,Bart Ehrman vs Michael Licona: Who Wrote the Gospels?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Michael Licona,Bart Ehrman,81,87,6.0,earlier
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Lane Craig,Bart Ehrman,84,83,-1.0,earlier
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Gary Habermas,Antony Flew,87,86,-1.0,earlier
191,ruse-rana-origin-life-evolution-design-2013,Michael Ruse vs Fuz Rana: Evolution or Design at Life's Origin?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",con,Fuz Rana,Michael Ruse,81,82,1.0,earlier
194,swinburne-millican-does-god-exist-2022,Richard Swinburne vs Peter Millican: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Richard Swinburne,Peter Millican,81,88,7.0,earlier
195,russell-copleston-existence-of-god-1948,Bertrand Russell vs Frederick Copleston: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Frederick Copleston,Bertrand Russell,78,80,2.0,earlier
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Josh Rasmussen,Michael Huemer,77,79,2.0,later
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Iain McGilchrist,Anil Seth,74,83,9.0,later
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,John Ferrer,Matt Dillahunty,67,83,16.0,later
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Victor Stenger,76,69,-7.0,later
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox (2007),General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",con,John Lennox,Richard Dawkins,72,76,4.0,later
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew (1998),General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Antony Flew,74,77,3.0,later
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer (2008),Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Dinesh D'Souza,Peter Singer,71,81,10.0,later
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins (2021),General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Trent Horn,Ben Watkins,71,75,4.0,later
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins (2026)","Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Rowan Williams,Richard Dawkins,76,77,1.0,later
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins (2024)","Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jordan Peterson,Richard Dawkins,74,86,12.0,later
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger (2022),"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",con,Lukas Ruegger,Alex O'Connor,75,85,10.0,later
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson (2026),"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",con,Dan Paterson,Joe Schmid,83,88,5.0,later
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",con,Max Baker-Hytch,Julian Baggini,82,80,-2.0,later
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier (2009),Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Lane Craig,Richard Carrier,80,80,0.0,later
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford (2020),"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jonathan Pageau,Stephen Woodford,74,78,4.0,later
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor (2022),"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Trent Horn,Alex O'Connor,74,84,10.0,later
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe (2007)","Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,David Wolpe,Sam Harris,68,83,15.0,later
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor (2026),"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Ross Douthat,Alex O'Connor,69,84,15.0,later
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor (2023),"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Alister McGrath,Alex O'Connor,73,83,10.0,later
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath (2017),General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",con,Alister McGrath,Michael Shermer,72,77,5.0,later
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor (2024),"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Ayaan Hirsi Ali,Alex O'Connor,71,83,12.0,later
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer (2008),General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,John Lennox,Michael Shermer,76,81,5.0,later
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins (2022),"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Francis Collins,Richard Dawkins,76,83,7.0,later
