number,debate_id,title,label,motion,cohort,pro_speaker,con_speaker,pro_score,con_score,con_minus_pro,higher_side,in_169_theist_non_theist_set,theist_side
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,God and anti-theism,"Is God great, and does Christian theism better explain science, morality, dignity, and hope than Hitchens's anti-theistic critique?",closed,John Lennox,Christopher Hitchens,77.0,81.0,4.0,con,True,pro
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,"Religious truth, morality, violence, and meaning","Is religious belief in the modern world intellectually credible and morally constructive, or is it an evidentially unsupported source of coercion and harm?",closed,Alister McGrath,Christopher Hitchens,80.0,80.0,0.0,tie,True,pro
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality","Religion, grace, and secular morality","Does religion poison everything, or does Christianity provide grace, charity, moral transformation, and historical credibility that defeat that charge?",closed,Christopher Hitchens,Marvin Olasky,80.0,82.0,2.0,con,True,con
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,Islam as peace or power,"Is Islam a religion of peace, or do its claims, institutions, and enforcement patterns make that description untenable?",closed,Christopher Hitchens,Tariq Ramadan,80.0,82.0,2.0,con,True,con
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,"God, meaning, and faith","Does religious faith reveal God, moral meaning, and human freedom, or does it replace reason with projection, authority, and harmful consolation?",closed,Christopher Hitchens,Rabbi David Wolpe,85.0,76.0,-9.0,pro,True,con
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,Human values and Christian inheritance,"Did Christianity give the modern West its human values, or do dignity, equality, humanism, science, and moral concern owe more to classical, Axial Age, Enlightenment, and secular sources?",closed,Tom Holland,AC Grayling,78.0,84.0,6.0,con,True,pro
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,Resurrection reasonability and testimony,"Is it reasonable to believe Jesus of Nazareth rose from the dead, given historical testimony, expected evidence, background knowledge, and standards for unusual claims?",closed,Trent Horn,Matt Dillahunty,82.0,83.0,1.0,con,True,pro
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor (2022),Christian belief and skeptical objections,Does the available evidence warrant Christian belief?,standalone,Trent Horn,Alex O'Connor,74.0,84.0,10.0,con,True,pro
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,"God, contingency, and evil","Does God exist, and do contingency, sufficient reason, moral realism, evil, animal suffering, and quantum randomness support or undermine theism?",closed,Trent Horn,Alex O'Connor,77.0,83.0,6.0,con,True,pro
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,Resurrection witnesses and rival miracles,"Did Jesus physically rise from the dead, and do early Christian testimony, rival miracle claims, martyrdom, and the empty tomb make that conclusion historically reasonable?",closed,Trent Horn,Alex O'Connor,78.0,86.0,8.0,con,True,pro
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins (2021),Cumulative theism and divine imperfection,Does God exist?,standalone,Trent Horn,Ben Watkins,71.0,75.0,4.0,con,True,pro
226,horn-white-purgatory-2024,Is the Doctrine of Purgatory True? Trent Horn vs. James White (2024),Purgatory and postmortem purification,Is the doctrine of purgatory true?,standalone,Trent Horn,James White,79.0,80.0,1.0,con,False,
224,hossenfelder-kastrup-superdeterminism-2022,Is Superdeterminism Scientifically Justified? Sabine Hossenfelder vs. Bernardo Kastrup (2022),"Superdeterminism, statistical independence, and measurement",Does superdeterminism provide a scientifically justified route to resolving quantum mechanics’ measurement problem?,standalone,Sabine Hossenfelder,Bernardo Kastrup,85.0,82.0,-3.0,pro,False,
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,Objective moral facts and intuitionism,"Do objective moral facts exist, and can ethical intuitionism establish moral realism against anti-realist quietism, folk metaethical indeterminacy, and language-use objections?",closed,Michael Huemer,Lance Bush,85.0,83.0,-2.0,pro,False,
221,huemer-loeb-moral-realism-2022,Is Moral Realism Better Supported? Michael Huemer vs. Don Loeb (2022),"Moral realism, intuition, and disagreement",Is stance-independent moral realism better supported than moral anti-realism?,standalone,Michael Huemer,Don Loeb,80.0,82.0,2.0,con,False,
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,Moral realism and error theory,"Are there objective moral facts, and can moral knowledge be justified by appearances rather than only by best-explanation evidence?",closed,Michael Huemer,Matt Lutz,88.0,81.0,-7.0,pro,False,
190,huemer-oppy-souls-personal-identity-2022,Michael Huemer vs Graham Oppy: Do Souls Exist?,"Mind, souls, and personal identity",Do conscious persons possess nonphysical mental substances that can survive bodily death?,closed,Michael Huemer,Graham Oppy,76.0,84.0,8.0,con,False,
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,"God, infinity, and explanatory comparison",Does God exist?,standalone,Josh Rasmussen,Michael Huemer,77.0,79.0,2.0,con,True,pro
186,huemer-sapolsky-free-will-determinism-2024,Michael Huemer vs Robert Sapolsky: Does Free Will Exist—and Does It Matter?,"Agency, biological causation, and responsibility","Do people sometimes control which of multiple genuinely available actions occurs, and does that freedom justify responsibility?",closed,Michael Huemer,Robert Sapolsky,83.0,80.0,-3.0,pro,False,
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,Christian God evidential standards,"Does the Christian God exist, and do libertarian freedom, the Kalam argument, resurrection evidence, hiddenness, and inconsistent revelation make Christian theism more reasonable than skepticism?",closed,Braxton Hunter,Matt Dillahunty,77.0,86.0,9.0,con,True,pro
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,God and naturalism,"Does the evidence from consciousness, emergence, morality, and cosmology make theism more plausible than naturalism?",closed,Michael Jones,Richard Carrier,74.0,73.0,-1.0,pro,True,pro
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,Emergent mind and evidential burden,"Do digital physics, cosmic consciousness, and introspective idealism provide good reasons to believe in a necessary immaterial mind, or do those arguments fail demonstrability, probability, and burden-of-proof standards?",closed,Michael Jones,Matt Dillahunty,73.0,91.0,18.0,con,True,pro
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,Quantum idealism and demonstrability,"Does quantum mechanics and idealism provide good reason to treat consciousness or a divine mind as fundamental, or does the claim fail public demonstrability and physical-interaction tests?",closed,Michael Jones,Matt Dillahunty,69.0,86.0,17.0,con,True,pro
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,Digital physics and theistic idealism,"Does digital physics, emergent spacetime, quantum information, and idealist metaphysics make God the best explanation of reality, or is a materialist ontology simpler and better disciplined?",closed,Michael Jones,James Fodor,71.0,87.0,16.0,con,True,pro
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,Digital physics and naturalistic pantheism,"Does God exist, and do emergent spacetime, quantum consciousness, idealism, and the limits of metaphysical knowledge make theism more reasonable than naturalistic alternatives?",closed,Michael Jones,Tom Jump,76.0,80.0,4.0,con,True,pro
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,Christian social goods and secular inquiry,"Which is better for society: Christianity, understood as a Christian-value society with a largely Christian population, or secular ethics?",closed,Michael Jones,Lawrence Krauss,79.0,76.0,-3.0,pro,True,pro
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,"Christianity, humanism, and social future","Does Christianity or humanism offer a brighter future for humanity, especially for moral formation, social health, human rights, truth, and pluralistic freedom?",closed,Michael Jones,Stephen Law,72.0,81.0,9.0,con,True,pro
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,"Hell, self-exile, and grace","Can the Christian doctrine of hell be morally justified as self-chosen exile, sanctifying grace, and possible annihilation rather than external torture?",closed,Michael Jones,Alex O'Connor,80.0,87.0,7.0,con,True,pro
188,kastrup-blackmore-consciousness-idealism-2023,Bernardo Kastrup vs Susan Blackmore: What Is Consciousness?,"Analytic idealism, neutral monism, and the self-model",Is consciousness the ontological foundation of reality rather than an emergent property of matter?,closed,Bernardo Kastrup,Susan Blackmore,83.0,86.0,3.0,con,False,
225,kastrup-jump-analytic-idealism-materialism-2023,Does Analytic Idealism Explain Consciousness Better? Bernardo Kastrup vs. Tom Jump (2023),Analytic idealism and materialist explanation,Does analytic idealism explain consciousness and reality better than materialism?,standalone,Bernardo Kastrup,Tom Jump,83.0,80.0,-3.0,pro,False,
152,knechtle-aron-ra-god-existence-2023,Stuart Knechtle vs Aron Ra: Does God Exist?,"Design, logic, and God","Does God exist, and do design, morality, logic, and experience support that conclusion?",closed,Stuart Knechtle,Aron Ra,71.0,78.0,7.0,con,True,pro
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,"Christianity, resurrection, and evidence","Is Christianity true, and do the Gospels, resurrection claims, moral meaning, and human value give sufficient warrant for Christian faith?",closed,Cliffe Knechtle,Matt Dillahunty,73.0,90.0,17.0,con,True,pro
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",Christian ethics,"Can Christianity's claims about forgiveness, morality, divine judgment, conquest, and slavery withstand skeptical objections?",closed,Cliffe Knechtle,Alex O'Connor,76.0,87.0,11.0,con,True,pro
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,Christian faith and skeptical inquiry,"Can Christian belief be rationally sustained amid skeptical challenges about faith, hell, resurrection evidence, biblical reliability, religious experience, the Exodus, and parallels with other ancient traditions?",closed,Michael Jones,Derek Lambert,79.0,81.0,2.0,con,True,pro
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,"Design, DNA, and naturalism","Do science, design, DNA, natural law, morality, and human experience point toward Christian theism or toward an atheistic naturalist account?",closed,John Lennox,Peter Atkins,79.0,72.0,-7.0,pro,True,pro
4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,Science and explanation,"Can science explain everything worth explaining, or do rationality, miracles, purpose, origins, morality, and meaning require a different kind of explanation?",closed,John Lennox,Peter Atkins,84.0,77.0,-7.0,pro,False,
169,lennox-krauss-universe-god-question-2013,"John Lennox vs Lawrence Krauss: Science, the Universe, and the God Question","Cosmology, fine-tuning, and explanatory scope","Do modern cosmology, fine-tuning, and the universe's existence support a divine mind or a self-contained natural account?",closed,John Lennox,Lawrence Krauss,76.0,84.0,8.0,con,True,pro
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God","Science, faith, and divine evidence","Do science, mathematics, miracle claims, moral experience, and the problem of evil support an evidence-based Christian faith or a more cautious agnostic naturalism?",closed,John Lennox,Michael Ruse,79.0,85.0,6.0,con,True,pro
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer (2008),"God, evidence, and scientific explanation",Does God exist?,standalone,John Lennox,Michael Shermer,76.0,81.0,5.0,con,True,pro
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,Resurrection evidence and natural explanations,"Did Jesus rise from the dead, and does the resurrection hypothesis better explain early Christian testimony than naturalistic alternatives?",closed,Michael Licona,Richard Carrier,80.0,83.0,3.0,con,True,pro
150,licona-dillahunty-resurrection-evidence-2017,Mike Licona vs Matt Dillahunty: Was Jesus Raised from the Dead?,"Miracles, resurrection, and historical evidence","Did Jesus rise from the dead, and can historical evidence plus allegedly supernatural phenomena justify that conclusion?",closed,Michael Licona,Matt Dillahunty,79.0,88.0,9.0,con,True,pro
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,Kalam causal principle and necessity,Does Loke's reformulated Kalam cosmological argument successfully establish a beginningless personal creator of the universe?,closed,Andrew Loke,Graham Oppy,74.0,86.0,12.0,con,True,pro
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,Naturalism and explanatory balance,"What better explains reality: naturalism, where the physical explains the mental, or theism, where God grounds creation, reason, information, morality, evil, and science?",closed,Jeffery Jay Lowder,Frank Turek,85.0,70.0,-15.0,pro,True,con
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,"Historical Jesus, mythicism, and mimesis","Did Jesus exist as a historical Jewish teacher later mythologized, or did early Christianity begin with a revelatory Christ only later placed in history?",closed,Dennis R. MacDonald,Richard Carrier,79.0,81.0,2.0,con,False,
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,Logic and divine conceptualism,"Does the existence of necessary truths or laws of logic support a necessarily existing divine mind, or can propositions be explained without God?",closed,James Anderson,Alex Malpass,86.0,82.0,-4.0,pro,True,pro
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",Moral objectivity and Christian ethics,"Do Jesus' teachings and the West's moral transformation point to objective moral truths grounded beyond human preference, or can morality be explained as historically shaped human inclination without divine grounding?",closed,Sean McDowell,Bart Ehrman,86.0,82.0,-4.0,pro,False,
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,"Consciousness, purpose, and God",Does consciousness fundamentally pervade reality and point toward God?,standalone,Iain McGilchrist,Anil Seth,74.0,83.0,9.0,con,True,pro
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor (2023),New Atheism and its legacy,Has New Atheism failed?,standalone,Alister McGrath,Alex O'Connor,73.0,83.0,10.0,con,True,pro
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,Paul and celestial Jesus mythicism,"Did Paul understand Jesus as an earthly historical person, or as a celestial figure whose death and resurrection occurred in a mythic heavenly realm?",closed,Jonathan McLatchie,Richard Carrier,80.0,83.0,3.0,con,False,
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,Resurrection and biblical morality,"Is Christianity true, especially in light of resurrection evidence, Gospel reliability, and the moral authority of biblical teaching?",closed,Jonathan McLatchie,Alex O'Connor,83.0,83.0,0.0,tie,True,pro
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,"Theism, naturalism, and reality","Theism or naturalism: which provides a better account of reality, including biological information, resurrection testimony, divine hiddenness, religious geography, and suffering?",closed,Jonathan McLatchie,Alex O'Connor,74.0,83.0,9.0,con,True,pro
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,Big Bang fine-tuning and design,"Does modern cosmology, especially Big Bang evidence and cosmic fine-tuning, make theism or intelligent design a better explanation than naturalistic early-universe models?",closed,Stephen Meyer,Phil Halper,79.0,90.0,11.0,con,True,pro
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,"Reason, intentionality, and naturalism",Does rationality undermine naturalism and make a theistic or otherwise non-naturalist account of mind more probable?,closed,Max Baker-Hytch,Alex O'Connor,84.0,82.0,-2.0,pro,True,pro
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,Free will and agent causation,"Do human beings have free will, either as ultimate control over action or as a volitional capacity to focus and use reason?",closed,Craig Biddle,Alex O'Connor,77.0,82.0,5.0,con,False,
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,Objectivist morality and emotivism,"Is morality objectively grounded in the factual requirements of human life, or are moral claims expressions of emotion without truth value?",closed,Craig Biddle,Alex O'Connor,82.0,89.0,7.0,con,False,
153,oconnor-carter-free-will-determinism-2024,Alex O'Connor vs Dr Alex Carter: Free Will and Determinism,Free will and compatibilism,"Do determinism and unchosen desires eliminate free will, or can determined agents be free when acting voluntarily and without coercion?",closed,Alex O'Connor,Alex Carter,79.0,82.0,3.0,con,False,
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,Resurrection and historical evidence,"Does the historical evidence make Jesus' resurrection the best explanation of the facts, or should skeptical alternatives and evidential caution prevent that conclusion?",closed,William Lane Craig,Alex O'Connor,86.0,88.0,2.0,con,True,pro
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,Bible truth and moral authority,"Is the Bible true in historical, moral, allegorical, theological, and revelatory senses, or do contradictions and morally troubling texts undermine its truth claims?",closed,Dinesh D'Souza,Alex O'Connor,76.0,91.0,15.0,con,True,pro
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,Divine hiddenness and seeking,"Does divine hiddenness, uneven religious geography, sincere nonbelief, hell, and original sin count against Catholic theism, or can grace, providence, and creaturely agency explain them?",closed,Gregory Pine,Alex O'Connor,74.0,87.0,13.0,con,True,pro
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger (2022),Divine hiddenness and a loving God,Does divine hiddenness make the existence of a perfectly loving God unlikely?,standalone,Alex O'Connor,Lukas Ruegger,85.0,75.0,-10.0,pro,True,con
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,Evil and moral objectivity,"Does evil and objective morality point to God, or can agnostic atheism explain moral experience without accepting a divine moral ground?",closed,Frank Turek,Alex O'Connor,76.0,87.0,11.0,con,True,pro
227,oldfield-marriott-meaning-without-god-2026,Is God the Answer to Our Meaning Crisis? Elizabeth Oldfield vs. James Marriott (2026),"God, secular life, and meaning",Is life's meaning ultimately grounded in God or humanly generated within a meaningless universe?,standalone,Elizabeth Oldfield,James Marriott,75.0,78.0,3.0,con,False,
175,oppy-pearce-is-there-a-god-2022,Graham Oppy vs Kenny Pearce: Is There a God?,Theism and naturalistic explanation,Does theism offer a better overall explanation of reality than naturalism?,closed,Kenny Pearce,Graham Oppy,84.0,88.0,4.0,con,True,pro
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith","Patterns, Logos, and secular meaning","Do patterns, symbolism, Genesis, resurrection, worship, and social meaning point toward God as Logos, or can they be explained by human cognition, pragmatic abstraction, and bottom-up social life?",closed,Jonathan Pageau,Joe Folley,76.0,88.0,12.0,con,True,pro
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford (2020),Metaphorical truth and religious patterns,Do religious patterns disclose enduring truths that should guide contemporary life?,standalone,Jonathan Pageau,Stephen Woodford,74.0,78.0,4.0,con,True,pro
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson (2026),"Divine hiddenness, relationship, and religious evidence",Does divine hiddenness provide significant evidence against a perfectly loving God?,standalone,Joseph Schmid,Dan Paterson,88.0,83.0,-5.0,pro,True,con
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,"God, archetypes, and memes","Do humans need God, religious stories, or religiously inherited values to make sense of life, meaning, morality, suffering, and action?",closed,Jordan Peterson,Susan Blackmore,74.0,85.0,11.0,con,True,pro
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins (2024)","Memes, archetypes, and religious truth",Do archetypes and religious narratives convey truths that factual naturalism misses?,standalone,Jordan Peterson,Richard Dawkins,74.0,86.0,12.0,con,True,pro
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,God and religious meaning,"Does God-language name a real supernatural being, or does it function mainly as a religious, moral, and psychological substrate for meaning?",closed,Jordan Peterson,Matt Dillahunty,73.0,89.0,16.0,con,True,pro
213,peterson-zizek-capitalism-marxism-happiness-2019,"Capitalism, Marxism, and Human Happiness: Jordan Peterson vs. Slavoj Žižek (2019)","Capitalism, Marxism, and human happiness",Does capitalism provide a greater opportunity for human happiness than Marxism?,standalone,Jordan Peterson,Slavoj Žižek,75.0,78.0,3.0,con,False,
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,Thomistic theism and analytic atheism,"Does God exist, and do Thomistic arguments from being, act and potency, divine simplicity, revelation, evil, freedom, and changing knowledge support or undermine classical theism?",closed,Gregory Pine,Ben Watkins,79.0,86.0,7.0,con,True,pro
160,pinker-douthat-do-we-need-god-2026,Steven Pinker vs Ross Douthat: Do We Need God?,"Religion, secularism, and human flourishing","Are people and societies better off with belief in God, or can secular reason and institutions provide morality, purpose, and social cooperation more effectively?",closed,Ross Douthat,Steven Pinker,80.0,85.0,5.0,con,True,pro
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution","Evolution, naturalism, and divine design","Are evolutionary science and theistic religion compatible, and does naturalism plus evolution undercut trust in human cognition?",closed,Alvin Plantinga,Daniel Dennett,83.0,84.0,1.0,con,True,pro
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,Evolutionary argument and rational belief,Is the evolutionary argument against naturalism successful at showing that naturalism plus evolution gives its believers a defeater for trusting their cognitive faculties?,closed,Alvin Plantinga,Stephen Law,81.0,81.0,0.0,tie,False,
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,"Resurrection, historical analogy, and evidence","Do the earliest Christian sources establish burial, an empty tomb, appearances, and resurrection belief such that God raising Jesus best explains the evidence?",closed,William Lane Craig,Robert Price,83.0,80.0,-3.0,pro,True,pro
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,Contingency and necessary foundation,Is the argument from contingency persuasive in moving from contingent reality to a necessary or automatically actual foundation?,closed,Josh Rasmussen,Scott Clifton,79.0,87.0,8.0,con,True,pro
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism","Suffering, theism, and causal finitude","Do Grim Reaper-style paradoxes support causal finitism, and does the existence and distribution of suffering favor theism or the hypothesis of indifference?",closed,Josh Rasmussen,Alex Malpass,82.0,89.0,7.0,con,True,pro
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",Ultimate reality and naturalism,"Is a theistic supreme foundation or a naturalistic initial reality the better account of ultimate reality, mind, and worldview simplicity?",closed,Josh Rasmussen,Graham Oppy,81.0,85.0,4.0,con,True,pro
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,Argument from limits,Does the argument from arbitrary limits successfully move from a fundamental reality or necessary foundation toward God-like perfection?,closed,Josh Rasmussen,Joseph Schmid,84.0,90.0,6.0,con,True,pro
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,"Classical theism, essence, and evidence",Is there good evidence for the existence of the God of classical theism?,closed,Kenny Rhodes,Matt Dillahunty,70.0,88.0,18.0,con,True,pro
191,ruse-rana-origin-life-evolution-design-2013,Michael Ruse vs Fuz Rana: Evolution or Design at Life's Origin?,Origin of life and cellular design,Are natural processes sufficient to explain the origin of life and the complexity of the cell?,closed,Michael Ruse,Fuz Rana,82.0,81.0,-1.0,pro,True,con
195,russell-copleston-existence-of-god-1948,Bertrand Russell vs Frederick Copleston: Does God Exist?,"Contingency, experience, and morality","Can God's existence be established through contingency, religious experience, or moral obligation?",closed,Frederick Copleston,Bertrand Russell,78.0,80.0,2.0,con,True,pro
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,Divine simplicity and classical theism,"Is divine simplicity, understood as God's absence of real intrinsic parts or composition, coherent with classical theism, Trinitarian doctrine, divine freedom, and omniscient knowledge of contingent reality?",closed,Christopher Tomaszewski,Joseph Schmid,86.0,87.0,1.0,con,True,pro
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,Atheism and Christian moral inheritance,Can atheism or secular humanism provide a better moral foundation for society than Christianity?,closed,Glen Scrivener,Matt Dillahunty,77.0,86.0,9.0,con,True,pro
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative","Hiddenness, evil, and moral narrative","Does Christian theism better account for hiddenness, evil, consciousness, morality, and moral progress than agnostic or naturalistic alternatives?",closed,Glen Scrivener,Joe Folley,74.0,84.0,10.0,con,True,pro
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",Biblical slavery and moral inheritance,"Did Christian faith give the modern West its beliefs in kindness, equality, freedom, consent, and abolition, or are those values better explained by mixed traditions, social struggle, and secular moral development?",closed,Glen Scrivener,Alex O'Connor,81.0,89.0,8.0,con,True,pro
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,Perfect mind and explanatory power,"Did a perfect mind create the universe, and do simplicity, moral agents, beauty, fine-tuning, meaning, and purpose favor that hypothesis over non-theism?",closed,Zac Sechler,Matt Dillahunty,79.0,83.0,4.0,con,True,pro
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,Evidence and presuppositions,"Does evidence for God exist, or are logic, mathematics, and intelligibility better explained without Christian theism?",closed,Joel Settecase,Tom Jump,84.0,78.0,-6.0,pro,True,pro
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society","Atheism, free will, and social order","Does atheism depend on borrowed religious or extra-natural assumptions about free will, morality, reason, and social order, or can secular life face the truth without religious scaffolding?",closed,Ben Shapiro,Alex O'Connor,71.0,87.0,16.0,con,True,pro
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath (2017),"God, imagination, and explanatory evidence",Is God a figment of our imagination?,standalone,Michael Shermer,Alister McGrath,77.0,72.0,-5.0,pro,True,con
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer (2008),Morality without God,Can there be morality without God?,standalone,Dinesh D'Souza,Peter Singer,71.0,81.0,10.0,con,True,pro
170,singer-lennox-is-there-god-2011,Peter Singer vs John Lennox: Is There a God?,"Reason, morality, suffering, and resurrection","Given science, human rationality, morality, suffering, and the historical claims about Jesus, is belief in the biblical God rational?",closed,John Lennox,Peter Singer,75.0,86.0,11.0,con,True,pro
