number,id,title,motion,cohort,theist_side,topic,narrow,reason,gap
95,craig-frazier-goff-folley-god-reality-2026,"William Lane Craig, Jessica Frazier, Philip Goff, and Joe Folley: Did God Create Reality?","Did God create physical reality, and does classical theism best explain the universe, objective meaning, mystical experience, consciousness, and moral obligation?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
96,knechtle-aronra-tjump-christianity-true-2023,Cliffe and Stuart Knechtle vs Aron Ra and TJump: Is Christianity True?,"Is Christianity true, and do the Gospels, resurrection claims, moral experience, human meaning, and biblical history justify Christian faith over skeptical naturalism?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,"Did Christianity give the modern West its human values, or do dignity, equality, humanism, science, and moral concern owe more to classical, Axial Age, Enlightenment, and secular sources?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,6
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,"Is belief in God reasonable in light of tsunamis, childhood cancer, moral evil, and the apparent harshness of the natural world?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,2
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,"Does God exist, and do emergent spacetime, quantum consciousness, idealism, and the limits of metaphysical knowledge make theism more reasonable than naturalistic alternatives?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,4
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,"Do digital physics, cosmic consciousness, and introspective idealism provide good reasons to believe in a necessary immaterial mind, or do those arguments fail demonstrability, probability, and burden-of-proof standards?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,18
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,"Does religion poison everything by adding doctrine, dogma, revelation, and moral harm to human decency, or does Christianity supply the sacred ideals and institutions that made modern compassion possible?",earlier,con,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,3
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,"Is Christianity rational, and do its claims about God, morality, reason, and resurrection meet proportionate evidential standards?",earlier,con,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,5
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,"Is belief in an all-powerful, all-loving God rational given alleged gratuitous evil, salvation confusion, rationality, design, and morality?",earlier,con,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,4
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,Does rationality undermine naturalism and make a theistic or otherwise non-naturalist account of mind more probable?,earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,-2
105,craig-williams-hossenfelder-zizek-god-reality-2026,William Lane Craig and Rowan Williams vs Sabine Hossenfelder and Slavoj Žižek: Does God Exist?,"Does God belong in our best account of reality, given cosmology, explanation, resurrection claims, suffering, religious practice, and the limits of science?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,"Do humans need God, religious stories, or religiously inherited values to make sense of life, meaning, morality, suffering, and action?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,11
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God","Do science, mathematics, miracle claims, moral experience, and the problem of evil support an evidence-based Christian faith or a more cautious agnostic naturalism?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,6
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God","Does human consciousness, religious and moral experience, and free agency make best sense within a God-centered mind-first reality, or can agnostic naturalism absorb those mysteries without theism?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,2
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,"Theism or naturalism: which provides a better account of reality, including biological information, resurrection testimony, divine hiddenness, religious geography, and suffering?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,9
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith","Can Christian faith be reconciled with evolutionary theory by emphasizing agency, cognition, and natural genetic engineering, or do unresolved mechanisms in origins, body plans, fossils, and human uniqueness make evolutionary confidence overreach?",earlier,,,False,both published sides are theistic/religious,
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,"Are scientists currently clueless about the origin of life, or do prebiotic chemistry, ribozyme research, and systems chemistry already provide viable pathways toward abiogenesis?",earlier,,,False,no position-level theist-vs-non-theist comparison,
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,"Is belief in God reasonable, given cosmology, fine-tuning, consciousness, rationality, morality, evil, religious history, and the record of scientific explanation?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,3
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,"Does the reality of suffering make belief in an all-powerful, all-loving God unreasonable, or does the Christian framework of a broken world, divine presence, justice, and future healing make better sense of it?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,1
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,"Does consciousness point beyond materialism to God, or can a non-theistic panpsychist framework explain conscious experience without adding theism?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,2
115,horn-bertuzzi-oconnor-schmid-problem-evil-2022,Trent Horn and Cameron Bertuzzi vs Alex O'Connor and Joe Schmid: Problem of Evil,"Does suffering, especially animal suffering and apparently gratuitous evil, make perfect-being theism improbable, or can theodicy, skeptical theism, higher goods, and Christian hope answer the challenge?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,"Do facts about pain, pleasure, languishing, and horrendous evil count as evidence for naturalism over theism, or can soul-building and skeptical theism neutralize that evidential force?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,9
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,"Does the contingency argument show that contingent reality requires a necessary foundation identifiable as God, or can determinism, composition worries, and a necessary-universe option block the inference?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,6
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,"Does theism or atheistic naturalism better explain evil, objective morality, knowledge, rationality, consciousness, free will, animal suffering, cosmic hostility, and non-resistant nonbelief?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,11
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,"Can the Christian doctrine of hell be morally justified as self-chosen exile, sanctifying grace, and possible annihilation rather than external torture?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,7
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,"Is Christianity true, especially in light of resurrection evidence, Gospel reliability, and the moral authority of biblical teaching?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,0
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,"Has science buried God, or can Christian theism still explain rationality, design, miracles, morality, and fine-tuning?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,6
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,"Does God exist, and do contingency, sufficient reason, moral realism, evil, animal suffering, and quantum randomness support or undermine theism?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,6
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,"Does divine hiddenness, uneven religious geography, sincere nonbelief, hell, and original sin count against Catholic theism, or can grace, providence, and creaturely agency explain them?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,13
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus","Can religious stories, God-language, and biblical tradition ground moral truth and meaning, or should moral realism, well-being, and open inquiry replace dogmatic religious frameworks?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,6
125,knechtles-oconnor-bible-ethics-grace-2024,"Cliffe and Stuart Knechtle vs Alex O'Connor: Bible Slavery, Women, and Forgiveness","Can Christian scripture and the gospel of grace give a coherent account of suffering, gender, slavery, violence, forgiveness, and salvation, or do those texts and doctrines create unresolved moral problems?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,"Does the Kalam causal premise justify a transcendent cause of the universe, or is ordinary causation too bound to space, time, and material conditions to support that inference?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,6
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,"Does objective morality require God as its necessary foundation, or can secular moral reasoning explain the relevant moral truths and obligations?",earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,19
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,"Does God exist, and do Craig's cumulative arguments overcome Law's evidential problem of evil and evil-God symmetry challenge?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,12
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,Is the evolutionary argument against naturalism successful at showing that naturalism plus evolution gives its believers a defeater for trusting their cognitive faculties?,earlier,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,"Did Jesus rise from the dead, and does the resurrection hypothesis better explain early Christian testimony than naturalistic alternatives?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,3
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,"Did Jesus exist as a historical person, or did early Christian belief begin with a celestial or mythic Christ later placed in history?",earlier,,,False,no position-level theist-vs-non-theist comparison,
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,"Did Paul understand Jesus as an earthly historical person, or as a celestial figure whose death and resurrection occurred in a mythic heavenly realm?",earlier,,,False,no position-level theist-vs-non-theist comparison,
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism",Can libertarian free will and Bradleyan idealism answer determinist and naturalist pressure better than compatibilist pragmatism?,earlier,,,False,no position-level theist-vs-non-theist comparison,
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,"Did Jesus exist as a historical Jewish teacher later mythologized, or did early Christianity begin with a revelatory Christ only later placed in history?",earlier,,,False,no position-level theist-vs-non-theist comparison,
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,"Did a first-century Jewish preacher named Jesus exist behind the Christian traditions, or did Christianity develop from mythic and scriptural materials without such a person?",earlier,,,False,no position-level theist-vs-non-theist comparison,
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,"How much historical confidence should readers place in the Gospels and resurrection accounts: reliable witness traces or later traditions shaped by memory, theology, and debate?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,2
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,"Do the earliest Christian sources establish burial, an empty tomb, appearances, and resurrection belief such that God raising Jesus best explains the evidence?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,-3
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,"Did Jesus Christ bodily rise from the dead, as early Christian sources claim?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,2
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,"Should we believe in an all-knowing, all-powerful, morally perfect being?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,8
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,Is there good evidence for the existence of the God of classical theism?,earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,18
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,"Is there good evidence for God, rather than merely an asserted epistemic starting point?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,18
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,"Does the Christian gospel's account of sin, atonement, and salvation make moral and explanatory sense?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,18
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,Do laws of logic and other transcendental facts provide good evidence for a necessary personal God?,earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,8
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution","Are evolutionary science and theistic religion compatible, and does naturalism plus evolution undercut trust in human cognition?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,1
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,"Is God a human invention, or do cosmological fine-tuning, morality, consciousness, and religious experience provide rational support for a real divine creator?",earlier,con,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,5
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,"Does determinism or indeterminism undermine free will and moral responsibility, or can reasons-responsive agency provide a compatibilist form of freedom worth preserving?",earlier,,,False,no position-level theist-vs-non-theist comparison,
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,"Does naturalism fully explain mind, intentionality, morality, and reality, or does a religious account of ultimate reality offer an additional explanatory framework?",earlier,con,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,3
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,"Do objective moral facts, moral knowledge, moral transformation, and moral rationality make theism a better explanation than secular ethical theories?",earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,1
149,alexander-moody-carroll-novella-death-2014,Eben Alexander and Raymond Moody vs Sean Carroll and Steven Novella: Is Death Final?,"Does consciousness survive bodily death, or are near-death experiences and reports of apparent contact with the dead better explained as brain-based and psychological phenomena?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
150,licona-dillahunty-resurrection-evidence-2017,Mike Licona vs Matt Dillahunty: Was Jesus Raised from the Dead?,"Did Jesus rise from the dead, and can historical evidence plus allegedly supernatural phenomena justify that conclusion?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,9
151,wood-dillahunty-god-secular-humanism-2020,David Wood vs Matt Dillahunty: God or Secular Humanism?,Which gives a better foundation for ethics: God or secular humanism?,earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,5
152,knechtle-aron-ra-god-existence-2023,Stuart Knechtle vs Aron Ra: Does God Exist?,"Does God exist, and do design, morality, logic, and experience support that conclusion?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
153,oconnor-carter-free-will-determinism-2024,Alex O'Connor vs Dr Alex Carter: Free Will and Determinism,"Do determinism and unchosen desires eliminate free will, or can determined agents be free when acting voluntarily and without coercion?",earlier,,,False,no position-level theist-vs-non-theist comparison,
154,koukl-oconnor-kanojia-nonbelief-harm-2025,"Greg Koukl, Alex O'Connor, and Alok Kanojia: Does Nonbelief Cause More Harm Than Good?","Does nonbelief leave people without the purpose and moral grounding needed to flourish, or can secular and spiritual practices sustain meaningful lives without Christian theism?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
155,turek-shermer-morality-god-science-2015,Frank Turek vs Michael Shermer: Is Morality Better Explained by God or Science?,"Is objective morality better explained by God as its personal ground, or by science, evolution, and human flourishing?",earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,3
156,harris-prager-religion-morality-public-reason-2014,"Sam Harris vs Dennis Prager: Religion, Morality, and Public Reason","Does religious belief better ground moral knowledge and identify social evil, or can secular ethical realism guide moral progress without sacred texts?",earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,11
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,"Is Christianity true, and do the grounding of logic, a necessary cause, divine hiddenness, and the relation of reason to revelation support or undermine it?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,17
158,dillahunty-mclatchie-resurrection-evidence-2020,Matt Dillahunty vs Jonathan McLatchie: Is There Strong Evidence for the Resurrection?,"Is there strong historical evidence that Jesus rose from the dead, or are the surviving Christian reports too indirect and insufficiently testable to establish a resurrection?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,5
159,wood-aron-ra-naturalism-2023,David Wood vs Aron Ra: Is Naturalism True?,"Is naturalism true, or does an evolutionary naturalist account of human cognition undermine the rational confidence required to affirm naturalism?",earlier,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
160,pinker-douthat-do-we-need-god-2026,Steven Pinker vs Ross Douthat: Do We Need God?,"Are people and societies better off with belief in God, or can secular reason and institutions provide morality, purpose, and social cooperation more effectively?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,5
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,"Does the evidence from cosmology, fine-tuning, morality, Jesus' resurrection, and religious experience make Christian theism more reasonable than skeptical atheism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,12
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,"Is God necessary for objective moral values, duties, human significance, and accountability, or can a secular moral realism provide an adequate foundation?",earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,9
163,craig-draper-existence-of-god-1997,William Lane Craig vs Paul Draper: The Existence of God,"Does the total evidence concerning the universe, life, morality, Jesus, religious experience, suffering, and hiddenness favor theism over naturalism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
164,craig-wielenberg-god-morality-2018,William Lane Craig vs Erik Wielenberg: God and Morality,What is the best account of objective moral values and duties: the nature and commands of God or godless normative realism?,earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,4
165,craig-rosenberg-faith-god-reasonable-2013,William Lane Craig vs Alex Rosenberg: Is Faith in God Reasonable?,Is belief in the personal God of classical theism intellectually reasonable?,earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-5
166,craig-atkins-does-god-exist-2011,William Lane Craig vs Peter Atkins: Does God Exist?,Does God exist as the transcendent personal cause and moral foundation of reality?,earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-10
167,craig-shook-existence-god-2008,William Lane Craig vs John Shook: The Existence of God,"Does the available philosophical, scientific, moral, historical, and experiential evidence support God's existence?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
168,craig-krauss-evidence-god-2012,William Lane Craig vs Lawrence Krauss: Is There Evidence for God?,"Does the greater weight of philosophical, scientific, moral, and historical evidence support God's existence?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,-2
169,lennox-krauss-universe-god-question-2013,"John Lennox vs Lawrence Krauss: Science, the Universe, and the God Question","Do modern cosmology, fine-tuning, and the universe's existence support a divine mind or a self-contained natural account?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,8
170,singer-lennox-is-there-god-2011,Peter Singer vs John Lennox: Is There a God?,"Given science, human rationality, morality, suffering, and the historical claims about Jesus, is belief in the biblical God rational?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,11
171,hitchens-blair-religion-force-good-2010,Christopher Hitchens vs Tony Blair: Is Religion a Force for Good in the World?,"On balance, is religion a force for good in the world?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,2
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,"Is religious belief in the modern world intellectually credible and morally constructive, or is it an evidentially unsupported source of coercion and harm?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,0
173,onaiyekan-widdecombe-fry-hitchens-catholic-church-force-good-2009,John Onaiyekan & Ann Widdecombe vs Stephen Fry & Christopher Hitchens: The Catholic Church Is a Force for Good in the World,"Is the Catholic Church, considered as an institution and global social force, a force for good in the world?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
174,dawkins-williams-kenny-humanity-ultimate-origins-2012,"Richard Dawkins, Rowan Williams & Anthony Kenny: Humanity's Ultimate Origins","Can the nature and ultimate origins of human beings be explained by evolutionary naturalism, or does a theistic account add indispensable explanation?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
175,oppy-pearce-is-there-a-god-2022,Graham Oppy vs Kenny Pearce: Is There a God?,Does theism offer a better overall explanation of reality than naturalism?,earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
176,ehrman-peter-williams-gospels-historically-reliable-2018,Bart Ehrman vs Peter J. Williams: Are the Gospels Historically Reliable?,"Are the canonical Gospels historically reliable accounts of Jesus' life, teaching, death, and resurrection?",earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,3
177,ehrman-wallace-trust-text-new-testament-2011,Bart Ehrman vs Daniel B. Wallace: Can We Trust the Text of the New Testament?,Can textual criticism recover the wording of the original New Testament with enough confidence for the text to be trusted?,earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,5
178,ehrman-licona-who-wrote-gospels-2025,Bart Ehrman vs Michael Licona: Who Wrote the Gospels?,"Were the canonical Gospels written by, or under the authority of, Matthew, Mark, Luke, and John?",earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,6
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,Does the historical evidence make Jesus' bodily resurrection the best explanation of what followed his crucifixion?,earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,-1
180,ally-licona-did-jesus-rise-dead-2004,Shabir Ally vs Michael Licona: Did Jesus Rise from the Dead?,Does the historical evidence establish that Jesus physically rose from the dead?,earlier,,,False,both published sides are theistic/religious,
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,Does the historical evidence make Jesus' bodily resurrection a rational conclusion?,earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,-1
182,white-ally-sin-salvation-quran-bible-2013,James White vs Shabir Ally: Sin and Salvation in the Qur'an and the Bible,Which account of sin and salvation—the Qur'an's direct forgiveness and moral accounting or the Bible's grace through Christ's atonement—is more coherent and scripturally grounded?,earlier,,,False,both published sides are theistic/religious,
183,enoch-clarke-doane-moral-realism-objectivity-2026,David Enoch vs Justin Clarke-Doane: Moral Realism and Objectivity,Can stance-independent moral facts genuinely vindicate normative objectivity by settling what agents should do?,earlier,,,False,no position-level theist-vs-non-theist comparison,
184,enoch-sampson-loeb-lutz-moral-realism-2024,David Enoch & Eric Sampson vs Don Loeb & Matthew Lutz: Is Moral Realism True?,Are there stance-independent moral facts that people can know and that supply genuinely categorical reasons for action?,unlocked,,,False,Multi-speaker or non-comparable scoring format,
185,dennett-caruso-free-will-responsibility-2021,Daniel Dennett vs Gregg Caruso: Free Will and Moral Responsibility,"Does the natural human capacity for reasons-responsive control justify free will, moral desert, and responsibility practices?",earlier,,,False,no position-level theist-vs-non-theist comparison,
186,huemer-sapolsky-free-will-determinism-2024,Michael Huemer vs Robert Sapolsky: Does Free Will Exist—and Does It Matter?,"Do people sometimes control which of multiple genuinely available actions occurs, and does that freedom justify responsibility?",earlier,,,False,no position-level theist-vs-non-theist comparison,
187,ward-dennett-more-than-matter-2019,Keith Ward vs Daniel Dennett: Are We More Than Matter?,"Are consciousness, personal identity, purpose, value, and free agency irreducible to the physical world?",earlier,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
188,kastrup-blackmore-consciousness-idealism-2023,Bernardo Kastrup vs Susan Blackmore: What Is Consciousness?,Is consciousness the ontological foundation of reality rather than an emergent property of matter?,earlier,,,False,no position-level theist-vs-non-theist comparison,
189,tour-cronin-origin-of-life-2020,James Tour vs Lee Cronin: Are We Close to Discovering the Origin of Life?,Does current origin-of-life research substantially overstate how close it is to explaining the emergence of life?,earlier,,,False,no position-level theist-vs-non-theist comparison,
190,huemer-oppy-souls-personal-identity-2022,Michael Huemer vs Graham Oppy: Do Souls Exist?,Do conscious persons possess nonphysical mental substances that can survive bodily death?,earlier,,,False,no position-level theist-vs-non-theist comparison,
191,ruse-rana-origin-life-evolution-design-2013,Michael Ruse vs Fuz Rana: Evolution or Design at Life's Origin?,Are natural processes sufficient to explain the origin of life and the complexity of the cell?,earlier,con,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,1
192,tour-swamidass-origin-life-chemistry-2020,James Tour vs S. Joshua Swamidass: How Close Is Origin-of-Life Science?,Has science come meaningfully close to explaining how life first arose from nonliving chemistry?,earlier,,,False,no position-level theist-vs-non-theist comparison,
193,crossan-licona-historical-jesus-2018,John Dominic Crossan vs Michael Licona: Who Was the Historical Jesus?,"What can historians verify about Jesus, and do the sources support his divine identity and bodily resurrection?",earlier,,,False,both published sides are theistic/religious,
